Ticker,Currency
FNV.TO,CAD
BCE.TO,CAD
CSH-UN.TO,CAD
WCN.TO,CAD
VET.TO,CAD
EDV.TO,CAD
NPI.TO,CAD
ENGH.TO,CAD
EIF.TO,CAD
CUF-UN.TO,CAD
REI-UN.TO,CAD
GEI.TO,CAD
MTL.TO,CAD
CG.TO,CAD
FTT.TO,CAD
NA.TO,CAD
TIH.TO,CAD
IPL.TO,CAD
CLS.TO,CAD
CCL-B.TO,CAD
MRE.TO,CAD
CAR-UN.TO,CAD
TXG.TO,CAD
CP.TO,CAD
MG.TO,CAD
KMP-UN.TO,CAD
BBU-UN.TO,CAD
AX-UN.TO,CAD
PVG.TO,CAD
BEI-UN.TO,CAD
CAS.TO,CAD
BLX.TO,CAD
EQB.TO,CAD
MAG.TO,CAD
RNW.TO,CAD
OSK.TO,CAD
SJR-B.TO,CAD
IAG.TO,CAD
GIL.TO,CAD
VII.TO,CAD
CM.TO,CAD
ATD-B.TO,CAD
ACO-X.TO,CAD
BB.TO,CAD
GRT-UN.TO,CAD
AUP.TO,CAD
DIR-UN.TO,CAD
CAE.TO,CAD
H.TO,CAD
SHOP.TO,CAD
WPK.TO,CAD
TFII.TO,CAD
IFC.TO,CAD
RBA.TO,CAD
OGC.TO,CAD
GOOS.TO,CAD
TD.TO,CAD
SLF.TO,CAD
BAD.TO,CAD
PAAS.TO,CAD
ERF.TO,CAD
PBH.TO,CAD
BHC.TO,CAD
BYD.TO,CAD
REAL.TO,CAD
IFP.TO,CAD
AQN.TO,CAD
PXT.TO,CAD
AC.TO,CAD
NFI.TO,CAD
SEA.TO,CAD
QSR.TO,CAD
TOY.TO,CAD
CNQ.TO,CAD
CRT-UN.TO,CAD
WTE.TO,CAD
FM.TO,CAD
CTC-A.TO,CAD
TRIL.TO,CAD
TRI.TO,CAD
YRI.TO,CAD
MX.TO,CAD
STN.TO,CAD
WEED.TO,CAD
GC.TO,CAD
CCO.TO,CAD
RY.TO,CAD
EFN.TO,CAD
NG.TO,CAD
BLDP.TO,CAD
NTR.TO,CAD
FFH.TO,CAD
ATZ.TO,CAD
CPG.TO,CAD
FR.TO,CAD
WIR-UN.TO,CAD
WCP.TO,CAD
MRU.TO,CAD
X.TO,CAD
APHA.TO,CAD
III.L,GBP
ANTO.L,GBP
AHT.L,GBP
ABF.L,GBP
AUTO.L,GBP
AVST.L,GBP
BA.L,GBP
BDEV.L,GBP
BEZ.L,GBP
BWY.L,GBP
BVIC.L,GBP
BT.A.L,GBP
BNZL.L,GBP
BRBY.L,GBP
CBG.L,GBP
CRDA.L,GBP
DPH.L,GBP
EVR.L,GBP
FERG.L,GBP
HLMA.L,GBP
HMSO.L,GBP
HL.L,GBP
HAS.L,GBP
HIK.L,GBP
IMB.L,GBP
INF.L,GBP
ITV.L,GBP
SBRY.L,GBP
JD.L,GBP
WG.L,GBP
JMAT.L,GBP
KGF.L,GBP
LMP.L,GBP
EMG.L,GBP
MGGT.L,GBP
MRO.L,GBP
MNDI.L,GBP
QLT.L,GBP
RMV.L,GBP
RR.L,GBP
ROR.L,GBP
RMG.L,GBP
SGRO.L,GBP
SVT.L,GBP
SMIN.L,GBP
SLA.L,GBP
TW.L,GBP
TCAP.L,GBP
TPK.L,GBP
BBOX.L,GBP
TLW.L,GBP
UTG.L,GBP
VMUK.L,GBP
WEIR.L,GBP
SMWH.L,GBP
AF.PA,EUR
AI.PA,EUR
ALO.PA,EUR
ATE.PA,EUR
AKE.PA,EUR
BIM.PA,EUR
BNP.PA,EUR
BOL.PA,EUR
EN.PA,EUR
BVI.PA,EUR
CAP.PA,EUR
COV.PA,EUR
ACA.PA,EUR
BN.PA,EUR
AM.PA,EUR
DSY.PA,EUR
EDEN.PA,EUR
FGR.PA,EUR
EDF.PA,EUR
ELIS.PA,EUR
ENGI.PA,EUR
EO.PA,EUR
GFC.PA,EUR
GET.PA,EUR
ICAD.PA,EUR
ILD.PA,EUR
ING.PA,EUR
IPN.PA,EUR
LI.PA,EUR
OR.PA,EUR
MMB.PA,EUR
LR.PA,EUR
ML.PA,EUR
KN.PA,EUR
ORP.PA,EUR
RI.PA,EUR
UG.PA,EUR
PUB.PA,EUR
RCO.PA,EUR
RNO.PA,EUR
RXL.PA,EUR
RUI.PA,EUR
SAF.PA,EUR
SGO.PA,EUR
DIM.PA,EUR
SU.PA,EUR
SW.PA,EUR
SOI.PA,EUR
SPIE.PA,EUR
TEP.PA,EUR
HO.PA,EUR
UBI.PA,EUR
FR.PA,EUR
VIE.PA,EUR
VIV.PA,EUR
MF.PA,EUR
WLN.PA,EUR
0001.HK,HKD
0002.HK,HKD
0003.HK,HKD
0005.HK,HKD
0006.HK,HKD
0011.HK,HKD
0012.HK,HKD
0016.HK,HKD
0017.HK,HKD
0019.HK,HKD
0027.HK,HKD
0066.HK,HKD
0101.HK,HKD
0175.HK,HKD
0267.HK,HKD
0288.HK,HKD
0386.HK,HKD
0388.HK,HKD
0669.HK,HKD
0688.HK,HKD
0700.HK,HKD
0762.HK,HKD
0823.HK,HKD
0857.HK,HKD
0883.HK,HKD
0939.HK,HKD
0941.HK,HKD
1038.HK,HKD
1044.HK,HKD
1093.HK,HKD
1109.HK,HKD
1113.HK,HKD
1177.HK,HKD
1299.HK,HKD
1398.HK,HKD
1810.HK,HKD
1928.HK,HKD
1997.HK,HKD
2007.HK,HKD
2018.HK,HKD
2269.HK,HKD
2313.HK,HKD
2318.HK,HKD
2319.HK,HKD
2382.HK,HKD
2388.HK,HKD
2628.HK,HKD
3328.HK,HKD
3988.HK,HKD
9988.HK,HKD
AAPL,USD
ABBV,USD
ABC,USD
AEP,USD
AJG,USD
AKAM,USD
ALK,USD
ALLE,USD
AOS,USD
APH,USD
APTV,USD
ATO,USD
AVB,USD
AZO,USD
BAX,USD
BIIB,USD
BIO,USD
BMY,USD
CAG,USD
CAH,USD
CARR,USD
CAT,USD
CBRE,USD
CERN,USD
CFG,USD
CINF,USD
COF,USD
COO,USD
CTLT,USD
CVS,USD
D,USD
DG,USD
DISH,USD
DLTR,USD
DRI,USD
DVA,USD
DVN,USD
EBAY,USD
ED,USD
EQR,USD
ETR,USD
ETSY,USD
F,USD
FBHS,USD
FDX,USD
FITB,USD
FMC,USD
FTI,USD
GD,USD
GM,USD
GOOGL,USD
GPC,USD
HFC,USD
HII,USD
HLT,USD
IFF,USD
INCY,USD
IPGP,USD
ITW,USD
JKHY,USD
JNPR,USD
JPM,USD
KLAC,USD
KMX,USD
KSU,USD
L,USD
LEN,USD
LOW,USD
LUMN,USD
LYB,USD
MA,USD
MAR,USD
MGM,USD
MRO,USD
MS,USD
MSCI,USD
MSFT,USD
NDAQ,USD
NFLX,USD
NI,USD
NKE,USD
NLOK,USD
NLSN,USD
NOC,USD
NOV,USD
NVDA,USD
ORCL,USD
PGR,USD
PRGO,USD
PWR,USD
QCOM,USD
QRVO,USD
RJF,USD
ROK,USD
ROP,USD
ROST,USD
RTX,USD
SBAC,USD
SCHW,USD
SIVB,USD
SNPS,USD
SO,USD
SPG,USD
SRE,USD
SYF,USD
SYK,USD
TEL,USD
TFX,USD
TGT,USD
TIF,USD
TMO,USD
TMUS,USD
TROW,USD
TT,USD
TYL,USD
UAA,USD
VMC,USD
VRSK,USD
VRTX,USD
WBA,USD
WLTW,USD
WM,USD
WRB,USD
WRK,USD
XEL,USD
XRX,USD
ZBRA,USD
6703.T,JPY
4578.T,JPY
9007.T,JPY
8031.T,JPY
6471.T,JPY
4568.T,JPY
9432.T,JPY
7731.T,JPY
7951.T,JPY
8628.T,JPY
5233.T,JPY
8309.T,JPY
6952.T,JPY
6988.T,JPY
6674.T,JPY
5214.T,JPY
1812.T,JPY
3402.T,JPY
8725.T,JPY
8028.T,JPY
9101.T,JPY
9501.T,JPY
6504.T,JPY
4911.T,JPY
7270.T,JPY
5108.T,JPY
4188.T,JPY
6506.T,JPY
6770.T,JPY
3405.T,JPY
8253.T,JPY
9008.T,JPY
8604.T,JPY
6103.T,JPY
8015.T,JPY
9202.T,JPY
7201.T,JPY
6841.T,JPY
2413.T,JPY
8830.T,JPY
7011.T,JPY
9021.T,JPY
6503.T,JPY
4503.T,JPY
7911.T,JPY
1721.T,JPY
2801.T,JPY
1925.T,JPY
5201.T,JPY
7004.T,JPY
8795.T,JPY
1332.T,JPY
8233.T,JPY
5706.T,JPY
3382.T,JPY
8354.T,JPY
8766.T,JPY
